iso,longitude,latitude,adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
BRA,-45.274418,-4.96095,3,2020,8409.940561,6180495.746
BRA,-63.293072,-10.83077,4,2020,242978.0788,180220499
BRA,-78.791252,-3.3617,5,2020,110142.9447,46097223.79
BRA,-44.555031,-18.512178,7,2020,59.4533053,88598.48753
BRA,-43.021549,-21.17524,8,2020,9218.748184,7953473.888
BRA,-37.713501,-6.54219,9,2020,37991.8828,20654257.82
BRA,-70.30146,-9.12893,10,2020,306836.8495,149304817.3
BRA,-87.568069,33.208496,1,2021,117865.6897,93311191.74
BRA,-37.713501,-6.54219,2,2021,838.3444767,425009.945
BRA,-45.274418,-4.96095,3,2021,5964.398174,5419302.24
BRA,-63.293072,-10.83077,4,2021,313520.6806,238631234.6
BRA,-78.791252,-3.3617,5,2021,120012.907,46127438.49
BRA,-44.555031,-18.512178,7,2021,36.83816699,82516.71876
BRA,-43.021549,-21.17524,8,2021,7071.636397,6603269.248
BRA,-37.713501,-6.54219,9,2021,40521.33347,21556845.47
BRA,-70.30146,-9.12893,10,2021,298599.792,146953597.6
